,grupo,sexo,laguna_cuidados,formacion,experiencia,habilidades,puntuacion,pasa
62,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",64,0
63,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",58,0
64,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",57,0
65,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",71,1
66,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",75,1
67,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",65,0
68,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",73,1
69,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",68,1
70,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",61,0
71,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",68,1
72,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",76,1
73,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",65,0
74,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",76,1
75,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",47,0
76,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",71,1
77,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",66,0
78,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",63,0
79,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",66,0
80,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",52,0
81,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",64,0
82,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",68,1
83,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",76,1
84,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",62,0
85,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",60,0
86,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",62,0
87,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",72,1
88,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",68,1
89,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",62,0
90,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",69,1
91,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",66,0
92,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",72,1
93,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",61,0
94,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",63,0
95,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",63,0
96,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",55,0
97,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",68,1
98,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",67,0
99,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",66,0
100,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",64,0
101,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",56,0
102,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",63,0
103,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",63,0
104,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",60,0
105,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",64,0
106,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",68,1
107,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",79,1
108,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",67,0
109,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",67,0
110,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",65,0
111,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",52,0
112,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",65,0
113,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",66,0
114,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",83,1
115,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",64,0
116,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",68,1
117,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",65,0
118,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",57,0
119,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",73,1
120,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",71,1
121,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",87,1
122,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",77,1
123,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",91,1
124,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",74,1
125,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",86,1
126,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",96,1
127,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",77,1
128,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",79,1
129,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",83,1
130,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",79,1
131,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",73,1
132,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",83,1
133,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",76,1
134,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",85,1
135,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",77,1
136,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",92,1
137,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",78,1
138,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",81,1
139,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",87,1
140,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",75,1
141,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",84,1
142,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",90,1
143,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",73,1
144,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",84,1
145,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",84,1
146,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",87,1
147,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",75,1
148,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",75,1
149,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",86,1
150,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",84,1
151,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",84,1
152,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",85,1
153,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",78,1
154,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",84,1
155,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",84,1
156,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",78,1
157,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",94,1
158,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",85,1
159,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",75,1
160,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",86,1
161,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",77,1
162,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",87,1
163,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",89,1
164,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",78,1
165,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",88,1
166,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",85,1
167,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",87,1
168,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",94,1
169,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",81,1
170,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",78,1
171,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",77,1
172,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",78,1
173,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",82,1
174,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",85,1
175,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",84,1
176,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",87,1
177,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",83,1
178,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",91,1
179,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",81,1
180,C,Hombres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",99,1
181,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",83,1
182,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",74,1
183,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",73,1
184,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",82,1
185,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",78,1
186,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",84,1
187,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",82,1
188,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",79,1
189,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",74,1
190,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",70,1
191,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",77,1
192,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",85,1
193,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",81,1
194,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",72,1
195,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",81,1
196,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",82,1
197,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",74,1
198,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",80,1
199,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",80,1
200,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",73,1
201,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",82,1
202,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",83,1
203,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",86,1
204,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",86,1
205,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",71,1
206,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",74,1
207,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",83,1
208,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",83,1
209,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",83,1
210,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",103,1
211,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",83,1
212,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",86,1
213,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",85,1
214,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",83,1
215,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",78,1
216,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",84,1
217,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",75,1
218,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",78,1
219,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",77,1
220,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",80,1
221,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",93,1
222,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",68,1
223,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",84,1
224,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",70,1
225,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",77,1
226,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",86,1
227,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",80,1
228,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",73,1
229,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",75,1
230,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",84,1
231,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",75,1
232,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",81,1
233,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",80,1
234,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",76,1
235,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",92,1
236,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",83,1
237,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",67,0
238,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",81,1
239,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",76,1
240,D,Mujeres,No,Grado + Máster,8,"Liderazgo, Python, Lean",85,1
