,grupo,puntuacion,pasa
187,D,79.56302652405877,1
188,D,74.91923769158957,1
189,D,70.9109166518848,1
190,D,77.32091028759787,1
191,D,85.13839276594084,1
192,D,81.28456246478122,1
193,D,72.52556732772807,1
194,D,81.03908555510709,1
195,D,82.31190427837302,1
196,D,74.6968553827932,1
197,D,80.92235063567317,1
198,D,80.349252310676,1
199,D,73.14217821301627,1
200,D,82.1467241620897,1
201,D,83.36470715820941,1
202,D,86.49830745905166,1
203,D,86.32281231220942,1
204,D,71.73398379225745,1
205,D,74.37304976050926,1
206,D,83.09021160325196,1
207,D,83.08271570547325,1
208,D,83.09028611783629,1
209,D,103.11638894392833,1
210,D,83.42534306415901,1
211,D,86.8133938410836,1
212,D,85.72401058095922,1
213,D,83.90834750783479,1
214,D,78.10838453215793,1
215,D,84.55381532295961,1
216,D,75.36304871277457,1
217,D,78.57908835955995,1
218,D,77.08781871302538,1
219,D,80.49124483631793,1
220,D,93.88795140004105,1
221,D,68.79640884444952,1
222,D,84.11756114224708,1
223,D,70.32370477286209,1
224,D,77.1684088052634,1
225,D,86.53370358180419,1
226,D,80.38568011457278,1
227,D,73.53353133242416,1
228,D,75.70817774444019,1
229,D,84.07758649360805,1
230,D,75.61780020969718,1
231,D,81.29875153749185,1
232,D,80.27343103942289,1
233,D,76.0903979143651,1
234,D,92.86366453595195,1
235,D,83.80351413390807,1
236,D,67.84914448005435,0
237,D,81.11872588861657,1
238,D,76.02928121138967,1
239,D,85.11460000877734,1
